262.42,113.77,99.811,57.632,40.4,16.957,67.216,17.758,23.685,24.322,9.2373,5.6687,14.33,78.895,27.474,13.556
261.9,112.98,98.869,57.047,39.691,16.871,65.962,17.679,23.466,24.172,9.1809,5.6337,14.136,78.804,27.162,13.555
261.33,112.2,97.941,56.479,38.993,16.769,64.733,17.605,23.249,24.023,9.1261,5.5997,13.946,78.695,26.857,13.555
260.71,111.42,97.028,55.924,38.307,16.652,63.53,17.536,23.034,23.875,9.0729,5.5668,13.762,78.566,26.559,13.557
260.04,110.65,96.127,55.38,37.633,16.522,62.352,17.472,22.823,23.727,9.0209,5.5349,13.582,78.418,26.267,13.559
259.31,109.88,95.239,54.846,36.97,16.381,61.199,17.412,22.613,23.581,8.9701,5.5039,13.407,78.25,25.981,13.562
258.54,109.13,94.364,54.319,36.318,16.231,60.072,17.358,22.407,23.435,8.9206,5.474,13.237,78.061,25.702,13.566
257.71,108.37,93.501,53.799,35.678,16.074,58.97,17.308,22.202,23.291,8.8724,5.4451,13.072,77.85,25.429,13.572
256.84,107.63,92.65,53.284,35.049,15.913,57.892,17.262,22.001,23.147,8.8253,5.4171,12.912,77.618,25.161,13.578
255.92,106.89,91.812,52.776,34.431,15.749,56.838,17.221,21.801,23.004,8.7795,5.3901,12.756,77.363,24.9,13.585
254.95,106.16,90.985,52.273,33.824,15.584,55.809,17.184,21.604,22.863,8.7348,5.364,12.604,77.084,24.644,13.593
253.94,105.43,90.17,51.777,33.227,15.42,54.802,17.152,21.41,22.722,8.6914,5.3388,12.456,76.781,24.395,13.602
252.89,104.71,89.367,51.287,32.642,15.258,53.819,17.124,21.218,22.582,8.6491,5.3145,12.313,76.454,24.15,13.612
251.79,103.99,88.576,50.802,32.067,15.098,52.859,17.1,21.028,22.443,8.608,5.2911,12.174,76.102,23.912,13.622
250.65,103.28,87.796,50.324,31.502,14.94,51.921,17.08,20.841,22.304,8.5681,5.2686,12.039,75.724,23.678,13.634
249.47,102.58,87.027,49.851,30.948,14.784,51.006,17.063,20.656,22.167,8.5293,5.2469,11.908,75.32,23.45,13.646
248.25,101.88,86.27,49.385,30.405,14.629,50.112,17.051,20.474,22.03,8.4917,5.226,11.781,74.889,23.227,13.66
247,101.19,85.523,48.924,29.871,14.476,49.24,17.043,20.293,21.895,8.4552,5.206,11.657,74.43,23.01,13.674
245.7,100.51,84.788,48.469,29.348,14.325,48.389,17.038,20.116,21.76,8.4198,5.1868,11.537,73.942,22.797,13.689
244.37,99.83,84.063,48.019,28.834,14.176,47.558,17.037,19.94,21.626,8.3855,5.1684,11.421,73.426,22.589,13.704
243.01,99.157,83.349,47.575,28.331,14.029,46.749,17.039,19.767,21.493,8.3523,5.1507,11.308,72.881,22.386,13.721
241.61,98.49,82.646,47.137,27.837,13.883,45.959,17.045,19.596,21.361,8.3202,5.1338,11.198,72.305,22.188,13.738
240.17,97.829,81.952,46.705,27.353,13.739,45.189,17.054,19.427,21.23,8.2892,5.1176,11.092,71.699,21.995,13.757
238.71,97.173,81.27,46.278,26.879,13.597,44.439,17.067,19.261,21.1,8.2593,5.1022,10.989,71.061,21.805,13.776
237.21,96.524,80.597,45.856,26.414,13.456,43.707,17.082,19.096,20.97,8.2304,5.0875,10.889,70.391,21.621,13.795
235.69,95.88,79.934,45.44,25.959,13.318,42.995,17.101,18.934,20.841,8.2026,5.0735,10.792,69.689,21.44,13.816
234.14,95.242,79.281,45.03,25.513,13.181,42.301,17.123,18.775,20.714,8.1758,5.0601,10.698,68.954,21.264,13.837
232.56,94.609,78.638,44.625,25.076,13.045,41.625,17.148,18.617,20.587,8.1501,5.0474,10.606,68.184,21.092,13.859
